#{"t_start": 1780913933.79048, "env_id": "highway-fast-v0"}
r,l,t
23.219831,30,278.04476
22.553554,30,278.469628
20.420221,30,278.895617
22.286888,30,279.308594
9.42022,13,279.492746
20.930135,28,279.888196
18.212612,24,280.292367
22.785387,30,280.703674
22.749959,30,281.115251
5.968337,8,281.234562
22.817909,30,281.661318
1.846796,3,281.705773
4.115775,6,281.792539
22.153554,30,282.22849
18.852613,27,282.617572
9.019587,12,282.792041
23.486888,30,283.211553
24.020221,30,283.630543
22.800351,30,284.056157
22.753247,30,284.478653
21.535018,30,284.930276
22.686888,30,285.347023
7.486888,11,285.506175
23.486888,30,285.920107
9.586218,12,286.095467
22.386277,30,286.518171
21.985316,30,286.940431
3.315775,5,287.037611
18.8,26,287.464822
22.552932,30,287.901474
23.252353,30,288.323138
16.535996,23,288.826285
22.553555,30,289.315937
22.519023,30,289.789719
19.197648,24,290.12276
23.619599,30,290.561948
24.286836,30,290.98707
21.85321,30,291.403195
23.219553,30,291.834926
12.720221,17,292.078155
22.419016,30,292.493875
5.284532,7,292.594122
22.153281,30,293.007127
24.113159,30,293.42778
21.486277,30,293.846072
23.351242,30,294.271953
21.085957,30,294.700822
11.602657,16,294.928902
21.252002,30,295.358414
21.13279,30,295.789061
23.353549,30,296.217426
21.686888,30,296.638884
23.468861,30,297.063809
4.019911,6,297.149399
20.919599,30,297.56245
22.653509,30,297.984114
23.049725,30,298.404176
22.686888,30,298.81764
23.486848,30,299.239638
24.286888,30,299.654875
21.602657,28,300.042968
10.553555,15,300.292325
11.26933,15,300.567086
10.935652,15,300.853506
5.246842,7,300.970285
10.031476,13,301.190551
20.719599,30,301.653961
22.686888,30,302.082967
23.319287,30,302.498748
22.553555,30,302.91469
21.886265,30,303.332956
24.420221,30,303.96438
20.820221,30,304.378747
2.646796,4,304.440982
20.66933,30,304.858392
4.683875,6,304.948191
22.719025,30,305.371084
24.218963,30,305.796669
23.486847,30,306.228966
12.452638,18,306.484324
8.486491,11,306.641186
13.264401,17,306.885251
22.086615,30,307.302816
22.582792,30,307.767811
11.333028,14,308.009431
23.486887,30,308.474427
22.020221,30,308.88894
21.985642,30,309.344894
23.286426,30,309.771057
23.220221,30,310.193803
23.319759,30,310.614822
4.533448,6,310.702504
9.231025,12,310.875335
6.913118,9,311.008337
21.220221,30,311.425246
22.449107,30,311.840203
23.353514,30,312.253591
7.646168,9,312.383014
22.72022,30,312.80582
21.753549,30,313.219196
22.916261,30,313.635665
23.086583,30,314.055612
22.88565,30,314.482277
20.820221,30,314.90222
15.119322,21,315.192925
10.485957,15,315.410002
16.715198,23,315.730947
7.317564,10,315.870309
21.135996,30,316.287096
23.486275,30,316.697982
8.720169,12,316.871509
23.220221,30,317.312592
22.535373,30,317.743596
17.8644,24,318.08981
20.686888,30,318.670113
23.979208,30,319.105056
20.553514,30,319.535679
22.669323,30,319.968925
22.835101,30,320.397309
21.750886,30,320.826314
20.218716,28,321.221641
21.850846,30,321.647582
4.683875,6,321.734111
9.98009,12,321.910607
22.45325,30,322.366471
23.134474,30,322.796932
17.253555,26,323.161174
23.617286,30,323.589644
23.05292,30,324.014747
23.586426,30,324.443737
24.020221,30,324.866138
23.533428,29,325.265737
22.48658,30,325.688988
14.819908,20,325.968685
23.619598,30,326.381973
18.553555,28,326.773115
22.553554,30,327.192358
23.086265,30,327.625947
3.400723,5,327.698001
22.553509,30,328.112051
22.252656,30,328.524238
22.683953,30,328.941077
20.553555,30,329.37547
21.686583,30,329.801574
2.632044,4,329.860121
22.22021,30,330.282994
1.715775,3,330.331813
7.917558,11,330.492988
22.686888,30,330.924363
23.335996,30,331.35527
21.26933,29,331.770292
20.686583,30,332.19378
22.819592,30,332.61748
17.886259,22,333.074637
15.863437,21,333.3812
22.686888,30,333.791496
23.353555,30,334.215858
23.152942,30,334.630722
23.219557,30,335.057862
20.800299,30,335.467385
23.353554,30,335.893848
24.685961,30,336.322579
22.420221,30,336.745633
17.153554,23,337.067321
9.750892,13,337.255773
24.133022,30,337.729791
8.035062,11,337.897923
22.420221,30,338.340054
2.197383,3,338.385658
11.802034,15,338.601823
20.420221,30,339.035222
8.853041,11,339.191768
21.18688,30,339.613165
21.353549,30,340.032425
22.179203,27,340.460735
2.779825,4,340.526308
22.652038,30,340.949321
22.686888,30,341.383697
2.666667,4,341.44318
21.220221,30,341.876473
5.699377,8,341.99278
22.249459,30,342.415768
23.619917,30,342.842652
21.353555,30,343.268769
18.800046,27,343.642674
22.120219,30,344.056642
23.753509,30,344.480531
22.952627,30,344.943765
23.253093,30,345.380086
10.019598,14,345.57443
4.716986,7,345.678126
13.220221,18,345.932363
11.333417,16,346.155617
23.352926,30,346.565955
17.253554,23,346.893243
23.353555,30,347.329834
23.486266,30,347.985953
13.353555,18,348.27766
21.22022,30,348.720611
1.879667,3,348.770363
23.918932,30,349.188792
23.733684,30,349.617098
22.286888,30,350.069705
17.35293,24,350.401999
9.550542,13,350.589253
22.28596,30,351.003823
22.286888,30,351.416397
20.720221,30,351.834771
21.417909,30,352.23736
23.185956,30,352.657743
23.252356,30,353.074295
13.586425,18,353.334806
22.568127,30,353.757169
12.719917,17,353.994981
8.850541,11,354.15194
22.153555,30,354.559925
21.220221,30,354.972377
24.131027,30,355.383799
6.450898,10,355.529037
22.286888,30,355.947178
21.786888,30,356.367108
